id,Insult,Date,Comment,Usage
1,0,20120603163526Z,"""like this if you are a tribe fan""",PrivateTest
2,1,20120531215447Z,"""you're idiot.......................""",PrivateTest
3,1,20120823164228Z,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you.\xa0 I don't need your protection or your ignorant rhetoric masquerading as representing my best interests.\xa0 """,PrivateTest
4,1,20120826010752Z,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID""",PrivateTest
5,1,20120602223825Z,"""haha green me red you now loser whos winning now moron""",PrivateTest
6,0,20120603202442Z,"""\nMe and God both hate-faggots.\n\nWhat's the difference between a-fag-and a refrigerator?\nRefrigerators don't fart when you put the meat in.""",PrivateTest
7,1,20120603163604Z,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY.""",PrivateTest
8,0,20120602223902Z,"""Not a chance Kid, you're wrong.""",PrivateTest
9,0,20120528064125Z,"""On Some real Shit FUck LIVE JASMIN!!!""",PrivateTest
10,1,20120603071243Z,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it.""",PrivateTest
11,1,20120531222107Z,"""\xa0@CrankyVince has found our slice of the Internets!\xa0 FUCK YOU.""",PrivateTest
12,1,20120602124231Z,"""\xa0HAHAHAHAH, you are a delusional moron.""",PrivateTest
13,0,20120531213632Z,"""There you are, been missing you.  How are you doing, feeling better?""",PrivateTest
14,1,20120826163900Z,"""wenttoau\n\nHe made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """,PrivateTest
15,1,20120824113742Z,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE""",PrivateTest
16,1,20120528193938Z,"""You're a crank.""",PrivateTest
17,0,20120602093617Z,"""Come on oppa you're a man. XD""",PrivateTest
18,0,20120531011755Z,"""I like your enthusiasm and initiative. You're a real go getter.""",PrivateTest
19,1,20120603034157Z,"""Juggalo you suck at trolling """,PrivateTest
20,0,20120528204217Z,"""you seem a very eloquent, grounded and educated person.\xa0""",PrivateTest
21,0,20120531032438Z,"""Its a wild wild world, keep your dirty fingers off of my human rights.""",PrivateTest
22,0,20120602003811Z,"""Are you about to recapture your swag?""",PrivateTest
23,1,20120528234413Z,"""no shit.. you must be a\xa0genius\xa0""",PrivateTest
24,0,20120823151417Z,"""N\xe3o tenho a m\xednima paci\xeancia pra esse tipo de babaca que acha que se existe um problema grave acontecendo ningu\xe9m pode nem ligar a tv pra ver uma novela. Tem que viver em fun\xe7\xe3o de mensa\xe7\xe3o, corrup\xe7\xe3o, greve, blablabla. Saco.""",PrivateTest
25,1,20120531043929Z,"""are you on 'roids by chance?""",PrivateTest
26,1,20120531185334Z,"""\xa0You are a disgusting human being""",PrivateTest
27,0,20120531045417Z,"""you are well versed when it may be on. \xa0Must be one of your favs if you know those details.""",PrivateTest
28,0,20120531044152Z,"""we?  you and the mouse in your pocket?""",PrivateTest
29,0,20120531032755Z,"""glad you realize this :P\n\nkidding. """,PrivateTest
30,0,20120603174414Z,"""Damn! You would rock this so hard!""",PrivateTest
31,0,20120603183334Z,"""In your face Cano haters """,PrivateTest
32,0,20120602030742Z,"""WHAT FOUL ARE YOU KIDDING!!!!!!!!""",PrivateTest
33,1,20120529031643Z,"""You would know alot about rolls, fat boy""",PrivateTest
34,0,20120531043949Z,"""You look pretty damn good! ^_^""",PrivateTest
35,1,20120601203416Z,"""You are a moron. I am a computer guy that has my own company. My mouth will get me in trouble? I doubt it. Stupid M F er.\n\nAgain, what is the name of your other account? I know, you do not want say...\nDouche bag.""",PrivateTest
36,0,20120826001254Z,"""It is the corrupt government blasting underground bunkers and tunnels in preparation for the coming nuclear/economic disaster.  They hope we will all die off so they can come out after the fallout is gone and rebuild the world as kings.  They will fail...""",PrivateTest
37,1,20120825023415Z,"""the phillies are terrible. go back to your cave""",PrivateTest
38,1,20120526233042Z,"""You are so naive.....useful idiot.""",PrivateTest
39,0,20120601162021Z,"""Are you kidding me?""",PrivateTest
40,1,20120602142119Z,"""You are an opinionated, uneducated idiot. And Kingdom of Heaven Director's Cut is a masterpiece.""",PrivateTest
41,1,20120528180139Z,"""Shut up muffin you soft a** b*tch""",PrivateTest
42,0,20120603034047Z,"""Okay, I'm going to blow your fucking minds. \xa0What if the three elderly members of the council aren't just ineffectual pushovers, but are actually being bloodbended by Tarrlok to give him the majority vote on every decision? \xa0It's a stretch, because you 'd think somebody would... notice, but they surely couldn't be THAT willing to turn Republic City into a police state at the first sign of trouble, could they?""",PrivateTest
43,0,20120601154705Z,"""It's also a synonym for shit. """,PrivateTest
44,0,20120531011747Z,"""Well then you're welcome to contact your own lawyer.""",PrivateTest
45,1,20120528225059Z,"""\xa0@Presidentjlh\xa0\xa0@JenBroflovski you can ask your mom about it""",PrivateTest
46,0,20120527204656Z,"""Jimmy, your pop ups and fly outs are the reason I can never be happy.""",PrivateTest
47,1,20120827042011Z,"""Well i got on here, but i think im might just get back off. See you delusion fans later!!:)""",PrivateTest
48,0,20120603184635Z,"""You are so strong""",PrivateTest
49,0,20120601034031Z,"""Coach, please stop trying to explain this away.  The more you speak/tweet the deeper your hole becomes.""",PrivateTest
50,1,20120529131056Z,"""Learn reading comprehension. Sure Urlacher is above average, maybe even great, as I said he's the Dick Butkus of your time. In response to the ""it takes a team"" comment, I just add that it is further proof that the Bears suck. As for Chicago and politics, do you really need to be told about the ""Chicago way""?  It influences everything, even your crappy organization called the Chicago bears. """,PrivateTest
51,1,20120602033315Z,"""Your mom is better.""",PrivateTest
52,0,20120526233147Z,"""ALYSSA LOOK...MATCHES YOUR WALL HANGING YOU MADE""",PrivateTest
53,0,20120528093734Z,"""justice over there then............are you watching England??""",PrivateTest
54,0,20120601015029Z,"""You're funny.  Do you do stand up?""",PrivateTest
